Project,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective,
antlr4,L6841,ProxyErrorListener,org.antlr.v4.runtime.ProxyErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ProxyErrorListener.java,47,1,110,2,0.309091,1,4,2,0.3125,0.344828,20,20,1,1,1,10,8,1,1,4,9,0.166667,0.107692,7,7,1,5,0.107692,7,1,1,0,0,1,58,64,1,0,1,0,5,0,5,0,5,11,0,5,0,58,64,1,0,1,0,5,0,5,0,5,11,0,5,0,0,1,34,0,0,0,17,0,0,0,0,1,13,0,0,0,0,0,0,4,0,
antlr4,L575,RecognitionException,org.antlr.v4.runtime.RecognitionException,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\RecognitionException.java,42,1,169,2,0,0,0,0,0,0,0,0,0,1,1,13,8,19,14,3,13,0.666667,0.478992,57,57,6,3,0.478992,57,0,0,4,4,0,62,128,5,6,5,6,10,0,8,2,10,21,0,8,2,62,128,5,6,5,6,10,0,8,2,10,21,0,8,2,0,0,12,1,2,0,0,2,0,0,0,0,11,0,1,0,0,0,0,1,0,
antlr4,L559,"Recognizer<Symbol extends Object, ATNInterpreter extends ATNSimulator>",org.antlr.v4.runtime.Recognizer,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\Recognizer.java,45,1,269,2,0,0,0,0,0,0,0,0,4,2,2,35,12,36,77,7,33,0.481481,0.333333,63,61,13,14,0.331579,63,0,0,2,5,0,126,224,6,16,6,16,26,1,26,4,26,52,1,26,4,127,225,6,16,6,16,26,1,26,4,26,52,1,26,4,0,2,47,1,8,0,0,7,1,0,1,2,34,1,1,0,0,0,0,11,1,
antlr4,L1043,RuleContext,org.antlr.v4.runtime.RuleContext,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\RuleContext.java,67,1,266,2,0,0,0,0,0,0,0,0,7,3,3,44,10,28,22,9,36,0.428571,0.27027,50,49,12,16,0.27027,50,4,4,1,2,1,135,200,3,8,3,8,27,3,27,0,27,59,3,27,0,135,200,3,8,3,8,27,3,27,0,27,59,3,27,0,0,0,56,0,1,0,0,0,1,0,0,0,47,1,0,0,0,0,0,8,0,
antlr4,L7167,TokenStreamRewriter,org.antlr.v4.runtime.TokenStreamRewriter,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\TokenStreamRewriter.java,116,1,601,2,0,0,0,0,0,0,0,0,1,4,3,91,8,4,40,10,47,0.16129,0.420582,188,149,5,26,0.382524,197,0,0,0,0,0,259,418,6,8,6,8,37,3,30,1,37,160,3,30,1,318,486,10,8,10,8,46,3,37,1,54,181,3,41,1,0,0,100,2,22,2,0,21,0,2,0,1,86,0,0,0,0,0,0,12,0,
antlr4,L9044,UnbufferedCharStream,org.antlr.v4.runtime.UnbufferedCharStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\UnbufferedCharStream.java,46,1,328,2,0.126113,2,5,2,0.102473,0.139535,29,24,2,2,2,49,3,2,8,1,21,0.375,0.328125,84,71,6,10,0.328125,84,2,2,1,1,1,172,283,11,3,9,3,20,1,15,0,20,93,3,15,0,172,283,11,3,9,3,20,1,15,0,20,93,3,15,0,0,2,50,1,10,1,14,5,1,0,0,2,29,0,2,0,0,3,0,6,0,
antlr4,L9126,UnbufferedTokenStream<T extends Token>,org.antlr.v4.runtime.UnbufferedTokenStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\UnbufferedTokenStream.java,38,1,336,2,0.114865,2,5,2,0.100334,0.123711,30,24,2,2,2,48,7,2,5,8,29,0.0555556,0.250965,65,53,1,17,0.250965,65,2,2,1,1,1,194,299,10,7,8,7,21,0,17,0,21,100,2,17,0,194,299,10,7,8,7,21,0,17,0,21,100,2,17,0,0,1,58,0,6,1,14,2,1,0,0,0,37,0,1,0,0,3,0,6,0,
antlr4,L9217,AnalysisPipeline,org.antlr.v4.analysis.AnalysisPipeline,L9210,L103,C:\Users\domco\Desktop\DP\repos\antlr4\tool\src\org\antlr\v4\analysis\AnalysisPipeline.java,46,1,118,2,0,0,0,0,0,0,0,0,1,2,2,16,14,2,3,18,23,0.25,0.102941,7,1,1,3,0.102941,7,0,0,0,0,0,61,73,1,0,1,0,5,1,3,0,5,40,1,3,0,61,73,1,0,1,0,5,1,3,0,5,40,1,3,0,0,0,18,0,5,1,0,4,0,0,1,0,13,0,0,0,0,0,0,4,0,
antlr4,L9223,LeftRecursionDetector,org.antlr.v4.analysis.LeftRecursionDetector,L9210,L103,C:\Users\domco\Desktop\DP\repos\antlr4\tool\src\org\antlr\v4\analysis\LeftRecursionDetector.java,48,1,154,2,0,0,0,0,0,0,0,0,1,4,4,17,11,1,1,5,9,0.25,0.313131,31,20,1,3,0.313131,31,0,0,0,0,0,68,107,4,0,4,0,4,2,3,0,4,45,2,3,0,68,107,4,0,4,0,4,2,3,0,4,45,2,3,0,0,0,10,0,7,0,0,7,0,2,1,0,3,0,0,0,0,0,0,4,0,
antlr4,L9326,LeftRecursiveRuleAltInfo,org.antlr.v4.analysis.LeftRecursiveRuleAltInfo,L9210,L103,C:\Users\domco\Desktop\DP\repos\antlr4\tool\src\org\antlr\v4\analysis\LeftRecursiveRuleAltInfo.java,35,1,59,2,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,0,2,0,0.08,2,0,0,3,0.08,2,0,0,0,0,0,23,25,7,0,7,0,2,7,2,0,2,6,7,2,0,23,25,7,0,7,0,2,7,2,0,2,6,7,2,0,0,0,12,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,5,0,
